ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,matched_image
superior-42-inch-vent-free-gas-firebox-vrt4542,Superior,Fireboxes,VRT4542WS,Superior 42 Inch Vent Free Gas Firebox | VRT4542 |,vrt4542ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt4500-42-hires-1.tif
superior-42-inch-vent-free-gas-firebox-vrt6042,Superior,Fireboxes,VRT6042,Superior 42 Inch Vent Free Gas Firebox | VRT6042 |,vrt6042,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt6000-42-hires-1.tif
superior-42-inch-vent-free-in-outdoor-gas-firebox-vre4242,Superior,Fireboxes,VRE4242WS,Superior 42 Inch Vent Free In/Outdoor Gas Firebox | VRE4242 |,vre4242ws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffb-vre4200-36-hires-1.tif
superior-42-inch-vent-free-outdoor-gas-firebox-vre4542,Superior,Outdoor Gas Fireplaces,VRE4542WS,Superior 42 Inch Vent Free Outdoor Gas Firebox | VRE4542 |,vre4542ws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffp-vre4500-42-hires-1.tif
superior-42-inch-vent-free-outdoor-gas-firebox-vre6042,Superior,Outdoor Gas Fireplaces,VRE6042,Superior 42 Inch Vent Free Outdoor Gas Firebox | VRE6042 |,vre6042,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffb-vre6000-42-hires-1.tif
superior-42-inch-vent-free-outdoor-gas-fireplace-vre3242,Superior,Outdoor Gas Fireplaces,VRE3242ZENWS,Superior 42 Vent Free Outdoor Gas Fireplace | VRE3242,vre3242zenws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffp-vre3200-36-hires-1.tif
superior-42-inch-vent-free-outdoor-gas-fireplace-vre4342,Superior,Outdoor Gas Fireplaces,VRE4342ZEN,Superior 42 Vent Free Outdoor Gas Fireplace | VRE4342,vre4342zen,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffp-vre4300-42-hires-1.tif
superior-42-inch-wood-fireplace-wrt-wct-2042,Superior,Wood Fireplaces,WRT2042WSI,Superior 42 Wood Fireplace | WRT/WCT 2042,wrt2042wsi,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wct2000-36-hires-1.tif
superior-42-inch-wood-fireplace-wrt-wct-3042,Superior,Wood Fireplaces,WRT3042WSI,Superior 42 Wood Fireplace | WRT/WCT 3042,wrt3042wsi,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt3000-42-hires-1.tif
superior-42-inch-wood-fireplace-wrt4542,Superior,Wood Fireplaces,WRT4542WS,Superior 42 Wood Fireplace | WRT4542,wrt4542ws,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt4500-42-hires-1.tif
superior-43-inch-direct-vent-contemporary-linear-gas-fireplace-drl4543,Superior,Gas Fireplaces,DRL4543TEN,Superior 43 Direct-Vent Contemporary Linear Gas Fireplace | DRL4543,drl4543ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drl4543-hires-1.tif
