series,product_type,image_type,filename,filepath,priority
Mosaic Masonry Bi-Fold Door Ebony Finish,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRE3000 Accessories,Web Images,Mosaic Masonry Bi-Fold Door Ebony Finish.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRE3000 Accessories/Mosaic Masonry Bi-Fold Door Ebony Finish.jpg,
drt3000,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt3000-40-hires-2.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3000-40-hires-2.tif,2
drt3040,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt3000-40-hires-2.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3000-40-hires-2.tif,2
vrt2500,Gas Fireplaces,Hi-Res Images,superior-vffb-vrt2500-36-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-vffb-vrt2500-36-hires-1.tif,1
vrt2536,Gas Fireplaces,Hi-Res Images,superior-vffb-vrt2500-36-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-vffb-vrt2500-36-hires-1.tif,1
DRT40CL_Liner_Shareable_Print,/Indoor Fireplaces,Web Images,DRT40CL_Liner_Shareable_Print.jpg,superior_source/Web Images/Indoor Fireplaces/DRT40CL_Liner_Shareable_Print.jpg,
Wild Timber LTF-WT,/Superior Images/Superior Gas Logs/Superior Vent-Free Logs,Web Images,Wild Timber LTF-WT.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vent-Free Logs/Wild Timber LTF-WT.jpg,
VRE4543 1,/Superior Images/Superior Outdoor Products,Web Images,VRE4543 1.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/VRE4543 1.jpg,1
drl3500,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl3500-45-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl3500-45-hires-1.tif,1
drl3545,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl3500-45-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl3500-45-hires-1.tif,1
WRT4820 2,/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces,Web Images,WRT4820 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT4820 2.jpg,2
DRI3030-Zen-Garden-Liner,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRI3030 Accessories,Web Images,DRI3030-Zen-Garden-Liner.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRI3030 Accessories/DRI3030-Zen-Garden-Liner.jpg,
mossyoakOD,Outdoor Products,Hi-Res Images,superior-vflg-mossyoakOD-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-vflg-mossyoakOD-hires-1.tif,1
WCT6840 Hammered Steel Façade,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WCT6840 Accessories,Web Images,WCT6840 Hammered Steel Façade.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WCT6840 Accessories/WCT6840 Hammered Steel Façade.jpg,
VRL4543 Decorative Face Trim Frame Black,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRL4543 Accessories,Web Images,VRL4543 Decorative Face Trim Frame Black.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRL4543 Accessories/VRL4543 Decorative Face Trim Frame Black.jpg,
BRT4000,/Indoor Fireplaces,Web Images,BRT4000.jpg,superior_source/Web Images/Indoor Fireplaces/BRT4000.jpg,
WRT3000,/Indoor Fireplaces,Web Images,WRT3000.jpg,superior_source/Web Images/Indoor Fireplaces/WRT3000.jpg,
